lemma,lemma_freq,lemma_len,n_forms
genetic,6632840.0,7,1
genetically,1011585.0,11,1
genial,292785.0,6,1
gentle,3529333.0,6,1
george,868195.0,6,1
get,148076607.0,3,3
giant,3393047.0,5,1
gilles,301525.0,6,1
giraffe',115040.0,8,1
girl,28358505.0,4,2
girl's,1038873.0,6,1
give,164574892.0,4,4
given',66612125.0,6,1
glass,14924160.0,5,2
glass',12138452.0,6,1
glory,4098901.0,5,1
glow,407209.0,4,1
go,196214962.0,2,4
gobble,71105.0,6,1
golden,2616452.0,6,1
gonna,74.0,5,1
good,148514912.0,4,2
goose,594511.0,5,1
government,59840428.0,10,1
grand,4808581.0,5,1
grandmother,2772794.0,11,1
gravel,1307986.0,6,1
gray,4964758.0,4,1
great,98296587.0,5,2
greatly,7110695.0,7,1
green,12917565.0,5,1
grimace,78917.0,7,1
grin,1562726.0,4,1
grind,914801.0,5,1
ground,25370252.0,6,1
group,50509409.0,5,2
grow,21881714.0,4,3
grower,568212.0,6,1
growers',568212.0,8,1
grown,7750420.0,5,1
grunt,122214.0,5,1
guard,6370100.0,5,2
guile,119870.0,5,1
guilty,4630606.0,6,1
gurgle,115569.0,6,1
guy,5546978.0,3,1
ha',2843936.0,3,1
hair,16590025.0,4,1
haircut,210866.0,7,1
half,36278645.0,4,1
hall,5857441.0,4,1
hand,97482456.0,4,3
hands',29361361.0,6,1
handsome,2651402.0,8,1
hang,7412350.0,4,2
happen,10393176.0,6,1
happy,12121639.0,5,1
hard,30493645.0,4,1
harsher,211491.0,7,1
hasten,2541.0,6,1
hat,2815757.0,3,2
hateful,314340.0,7,1
have,1510299857.0,4,4
haven't,12522.0,7,1
hawk,451703.0,4,1
he,602878183.0,2,1
he's,8066569.0,4,1
head,55363876.0,4,2
head',48252042.0,5,1
hear,27322357.0,4,2
heard,26357604.0,5,1
hearsay,443958.0,7,1
heart,32678215.0,5,1
heaven,1530589.0,6,1
heavy,13424014.0,5,1
hedge,364625.0,5,1
hedgeking,1.0,9,1
hedgeking',1.0,10,1
hell,5879237.0,4,1
help,71127541.0,4,3
helpless,1526304.0,8,1
her,415597541.0,3,1
here,77002046.0,4,1
herself,20074494.0,7,1
herself',20074494.0,8,1
hesitantly,183850.0,10,1
hid,1302076.0,3,1
hidden,6412449.0,6,1
hide,7235500.0,4,3
